jornada,posicion_equipo,ptos,j,g3,g2,p1,p0,sf,sc,pf,pc,sanciones
1,"1. 		  		
		  CV Bruxas ",3,1,1,0,0,0,3,0,75,39,0
1,"2. 		  		
		  CV Oviedo ",3,1,1,0,0,0,3,0,75,42,0
1,"3. 		  		
		  CD Voleibol Astillero ",3,1,1,0,0,0,3,0,75,61,0
1,"4. 		  		
		  Universidad de Salamanca ",0,1,0,0,0,1,0,3,61,75,0
1,"5. 		  		
		  D&comma;Elhuyar ",0,1,0,0,0,1,0,3,42,75,0
1,"6. 		  		
		  Calasancias Coruña ",0,1,0,0,0,1,0,3,39,75,0
2,"1. 		  		
		  CV Oviedo ",6,2,2,0,0,0,6,0,150,91,0
2,"2. 		  		
		  CV Bruxas ",3,1,1,0,0,0,3,0,75,39,0
2,"3. 		  		
		  Aceites Abril CVO ",3,1,1,0,0,0,3,0,75,53,0
2,"4. 		  		
		  Universidad de Valladolid ",3,1,1,0,0,0,3,0,77,63,0
2,"5. 		  		
		  CD Voleibol Astillero ",3,2,1,0,0,1,3,3,138,138,0
2,"6. 		  		
		  Universidad de Salamanca ",0,1,0,0,0,1,0,3,61,75,0
2,"7. 		  		
		  D&comma;Elhuyar ",0,2,0,0,0,2,0,6,95,150,0
2,"8. 		  		
		  Calasancias Coruña ",0,2,0,0,0,2,0,6,88,150,0
3,"1. 		  		
		  CV Bruxas ",6,2,2,0,0,0,6,0,150,90,0
3,"2. 		  		
		  CV Oviedo ",6,2,2,0,0,0,6,0,150,91,0
3,"3. 		  		
		  Aceites Abril CVO ",6,2,2,0,0,0,6,0,150,103,0
3,"4. 		  		
		  Universidad de Valladolid ",3,1,1,0,0,0,3,0,77,63,0
3,"5. 		  		
		  Curtidora Universidad de Oviedo ",3,1,1,0,0,0,3,1,91,76,0
3,"6. 		  		
		  CD Voleibol Astillero ",3,2,1,0,0,1,3,3,138,138,0
3,"7. 		  		
		  D&comma;Elhuyar ",0,3,0,0,0,3,1,9,171,241,0
3,"8. 		  		
		  Universidad de Salamanca ",0,2,0,0,0,2,0,6,112,150,0
3,"9. 		  		
		  Calasancias Coruña ",0,3,0,0,0,3,0,9,138,225,0
4,"1. 		  		
		  CV Oviedo ",9,3,3,0,0,0,9,1,245,159,0
4,"2. 		  		
		  Aceites Abril CVO ",8,3,2,1,0,0,9,2,254,204,0
4,"3. 		  		
		  Curtidora Universidad de Oviedo ",7,3,2,0,1,0,8,4,268,242,0
4,"4. 		  		
		  CV Bruxas ",6,2,2,0,0,0,6,0,150,90,0
4,"5. 		  		
		  CD Voleibol Astillero ",4,3,1,0,1,1,5,6,242,241,0
4,"6. 		  		
		  Universidad de Valladolid ",3,1,1,0,0,0,3,0,77,63,0
4,"7. 		  		
		  Fertiberia Los Campos ",2,1,0,1,0,0,3,2,103,104,0
4,"8. 		  		
		  Universidad de Salamanca ",0,3,0,0,0,3,1,9,180,245,0
4,"9. 		  		
		  D&comma;Elhuyar ",0,3,0,0,0,3,1,9,171,241,0
4,"10. 		  		
		  Calasancias Coruña ",0,4,0,0,0,4,0,12,200,301,0
5,"1. 		  		
		  CV Oviedo ",12,4,4,0,0,0,12,1,320,202,0
5,"2. 		  		
		  Aceites Abril CVO ",11,4,3,1,0,0,12,2,330,262,0
5,"3. 		  		
		  Curtidora Universidad de Oviedo ",7,3,2,0,1,0,8,4,268,242,0
5,"4. 		  		
		  CV Bruxas ",6,2,2,0,0,0,6,0,150,90,0
5,"5. 		  		
		  CD Voleibol Astillero ",4,3,1,0,1,1,5,6,242,241,0
5,"6. 		  		
		  Universidad de Valladolid ",3,2,1,0,0,1,3,3,120,138,0
5,"7. 		  		
		  Calasancias Coruña ",3,5,1,0,0,4,3,13,292,390,0
5,"8. 		  		
		  Fertiberia Los Campos ",2,1,0,1,0,0,3,2,103,104,0
5,"9. 		  		
		  D&comma;Elhuyar ",0,4,0,0,0,4,2,12,260,333,0
5,"10. 		  		
		  Universidad de Salamanca ",0,4,0,0,0,4,1,12,238,321,0
