Numero,Equipo1,Equipo2,Fecha,Hora,Sets_ganados_equipo1,Sets_ganados_equipo2,Resultado_set1,Resultado_set2,Resultado_set3,Resultado_set4,Resultado_set5
2,CD Voleibol Astillero,Universidad de Salamanca,11/10/20,11:30,3,0,25-20,25-23,25-18,0-0,0-0
4,CV Bruxas,Calasancias Coruña,10/10/20,19:30,3,0,25-10,25-16,25-13,0-0,0-0
5,CV Oviedo,D&comma;Elhuyar,10/10/20,17:00,3,0,25-13,25-15,25-14,0-0,0-0
8,D&comma;Elhuyar,Aceites Abril CVO,17/10/20,16:30,0,3,14-25,18-25,21-25,0-0,0-0
9,Calasancias Coruña,CV Oviedo,17/10/20,13:00,0,3,16-25,17-25,16-25,0-0,0-0
12,Universidad de Valladolid,CD Voleibol Astillero,17/10/20,20:30,3,0,26-24,25-15,26-24,0-0,0-0
15,CV Bruxas,Universidad de Salamanca,24/10/20,19:30,3,0,25-12,25-17,25-22,0-0,0-0
17,Aceites Abril CVO,Calasancias Coruña,25/10/20,11:30,3,0,25-21,25-14,25-15,0-0,0-0
18,Curtidora Universidad de Oviedo,D&comma;Elhuyar,24/10/20,19:30,3,1,15-25,25-13,25-14,26-24,0-0
6,Aceites Abril CVO,Curtidora Universidad de Oviedo,31/10/20,17:00,3,2,25-19,21-25,18-25,25-20,15-12
20,Calasancias Coruña,Curtidora Universidad de Oviedo,01/11/20,12:00,0,3,24-26,17-25,21-25,0-0,0-0
22,Universidad de Salamanca,CV Oviedo,31/10/20,17:00,1,3,12-25,25-20,11-25,20-25,0-0
24,CD Voleibol Astillero,Fertiberia Los Campos,31/10/20,16:00,2,3,22-25,25-22,25-27,25-14,7-15
27,CV Oviedo,Universidad de Valladolid,07/11/20,17:00,3,0,25-13,25-18,25-12,0-0,0-0
28,Aceites Abril CVO,Universidad de Salamanca,08/11/20,11:30,0,0,0-0,0-0,0-0,0-0,0-0
30,D&comma;Elhuyar,Calasancias Coruña,07/11/20,16:00,1,3,25-15,23-25,16-25,25-27,0-0
